#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Streptococcus oriloxodontae	 DSM 27377, DSM:27377, JCM 19285, JCM:19285, NUM 2101	yes	no
Actinomyces graevenitzii	 CCUG 27294, CCUG:27294, CIP 105737, CIP:105737, DSM 15540, DSM:15540	yes	no
Enterovirga rhinocerotis	 CCTCC AB 2012048, CCTCC:AB:2012048, DSM 25903, DSM:25903, YIM 100770, YIM:100770	yes	yes
Pseudonocardia kunmingensis	 CCTCC AA 208078, CCTCC:AA:208078, DSM 45301, DSM:45301, YIM 63158, YIM:63158	yes	no
Aestuariibacter halophilus	 DSM 15266, DSM:15266, IMSNU 14007, IMSNU:14007, JC2043, KCTC 12043, KCTC:12043	yes	no
Altibacter lentus	 CGMCC 1.12167, CGMCC:1.12167, JCM 18884, JCM:18884, JLT2010	yes	no
Stenotrophomonas lactitubi	 BCCM/LMG:29943, DSM 104152, DSM:104152, LMG 29943, LMG:29943, M15	yes	yes
Microbacterium lacus	 A5E-52, DSM 18910, DSM:18910, JCM 15575, JCM:15575, MBIC 08279, MBIC08279, MBIC:08279	yes	no
Caldicoprobacter guelmensis	 D2C22, DSM 24605, DSM:24605, JCM 17646, JCM:17646	yes	no
Chromohalobacter japonicus	 43, CCM 7416, CCM:7416, CECT 7219, CECT:7219	yes	no
Corynebacterium geronticis	 W8	yes	yes
Microlunatus nigridraconis	 CPCC 203993, DSM 29529, DSM:29529, KCTC 29689, KCTC:29689, NBRC 110715, NBRC:110715	yes	no
Pontimonas salivibrio	 CL-TW6, JCM 18206, JCM:18206, KCCM 90105, KCCM:90105	yes	yes
Albimonas donghaensis	 DS2, DSM 17890, DSM:17890, KCTC 12586, KCTC:12586	yes	yes
Mycoplasma caviae	 ATCC 27108, ATCC:27108, NCTC 10126, NCTC:10126	yes	yes
Moorella mulderi	 ATCC BAA-608, ATCC:BAA:608, DSM 14980, DSM:14980, TMS	yes	yes
Dechloromonas agitata	 ATCC 700666, ATCC:700666, CKB, DSM 13637, DSM:13637	yes	no
Novosphingobium lentum	 CCUG 45847, CCUG:45847, CIP 108698, CIP:108698, DSM 13663, DSM:13663, MT1, NBRC 107847, NBRC:107847	yes	yes
Borreliella tanukii	 ATCC BAA-127, ATCC:BAA:127, Hk501, JCM 9662, JCM:9662	yes	no
Hymenobacter flocculans	 A2-50A, CIP 110139, LMG 25699	yes	no
Sphingomonas naphthae	 DKC-5-1, JCM 31294, JCM:31294, KACC 18716, KACC:18716, KEMB 9005-380, KEMB:9005-380, KEMC:9005-380	yes	no
Flavobacterium subsaxonicum	 CIP 109867, CIP:109867, DSM 21790, DSM:21790, WB 4.1-42, WB4.1-42, WB:4.1-42	yes	yes
Campylobacter avium	 86/06, BCCM/LMG:24591, CCUG 56292, CCUG:56292, LMG 24591, LMG:24591	yes	yes
Peptoanaerobacter stomatis	 ACC19a, ATCC BAA-2665, ATCC:BAA:2665, DSM 28705, DSM:28705, HM-483, HM:483	yes	yes
Reichenbachiella agariperforans	 DSM 26134, DSM:26134, IFO 16625, JCM 11238, JCM:11238, KMM 3525, KMM:3525, NBRC 16625, NBRC:16625	yes	yes
Methylorubrum aminovorans	 ATCC 51358, ATCC:51358, CIP 105328, CIP:105328, DSM 8832, IFO 15686, IFO:15686, JCM 8240, JCM:8240, NBRC 15686, NBRC:15686, TH-15, VKM B-2145, VKM:B:2145	yes	no
Thiopseudomonas denitrificans	 CCTCC M 2013362, CCTCC:M:2013362, DSM 28679, DSM:28679, KCTC 42076, KCTC:42076, X2	yes	yes
Photobacterium rosenbergii	 BCCM/LMG:22223, CBMAI 622, CBMAI:622, CC1, DSM 19138, DSM:19138, LMG 22223, LMG:22223	yes	yes
Spiroplasma chinense	 ATCC 43960, ATCC:43960, CCH, DSM 19755	yes	no
Photobacterium damselae	 ATCC 33539, ATCC 33539 [[Photobacterium histaminum]], ATCC 51805, ATCC 51805 [[Photobacterium histaminum]], ATCC:33539, BCCM/LMG:7892, C-8, C-8 [[Photobacterium histaminum]], CAIM 331, CAIM 331 [[Photobacterium histaminum]], CAIM:331, CCUG 13626, CCUG 13626 [[Photobacterium histaminum]], CCUG:13626, CDC 2588-80, CDC 2588-80 [[Photobacterium histaminum]], CDC:2588-80, CIP 102761, CIP 102761 [[Photobacterium histaminum]], CIP:102761, DSM 7482, DSM 7482 [[Photobacterium histaminum]], DSM:7482, DSMZ 7482, DSMZ 7482 [[Photobacterium histaminum]], IFO 15633, IFO 15633 [[Photobacterium histaminum]], IFO:15633, JCM 8968, JCM 8968 [[Photobacterium histaminum]], LMG 7892, LMG 7892 [[Photobacterium histaminum]], LMG:7892, NBRC 15633, NBRC 15633 [[Photobacterium histaminum]], NBRC:15633, NCTC 11647, NCTC 11647 [[Photobacterium histaminum]], NCTC:11647	yes	yes
Pseudaeromonas paramecii	 JCM 32226, JCM:32226, KCTC 62038, KCTC:62038, PCS8	yes	no
Microbispora amethystogenes	 CGMCC 4.1340, CGMCC:4.1340, DSM 43164, DSM:43164, JCM 3021, JCM:3021, NBRC 101907, NBRC:101907, NRRL B-2637, NRRL:B:2637	yes	no
Agromyces flavus	 CCM 7623, CCM:7623, CPCC 202695, CPCC:202695, DSM 22059, KCTC 19578, KCTC:19578	yes	yes
Chitinophaga pinensis	 ACM 2034, ACM:2034, ATCC 43595, ATCC:43595, BCCM/LMG:13176, DSM 2588, DSM:2588, DSMZ 2588, IFO 15968, IFO:15968, LMG 13176, LMG:13176, NBRC 15968, NBRC:15968, UQM 2034, UQM:2034	yes	yes
Amycolatopsis albispora	 KCTC 39642, KCTC:39642, MCCC 1A10745, MCCC:1A10745, WP1	yes	yes
Pilimelia columellifera	 ATCC 43728, ATCC:43728, CBS 569.75, CBS:569.75, DSM 43797, DSM:43797, IFO 16052, IFO:16052, JCM 3367, JCM:3367, MB-SK6, MB-Sk6, NBRC 16052, NBRC:16052	yes	no
Sinomonas soli	 CCTCC AB 207193, CCTCC:AB:207193, CW 59, DSM 26463, KCTC 19389, KCTC:19389	yes	no
Shewanella pealeana	 ANG-SQ1, ATCC 700345, ATCC:700345, CIP 106450, CIP:106450	yes	yes
Clostridium aerotolerans	 ATCC 43524, DSM 5434, X8A 62, X8A62	yes	yes
Confluentimicrobium naphthalenivorans	 DSM 105040, JCM 30828, JCM:30828, KCTC 18418, KCTC:18418, NS6	yes	no
Intestinibacter bartlettii	 ATCC BAA-827, ATCC:BAA:827, CCUG 48940, CCUG:48940, DSM 16795, DSM:16795, WAL 16138, WAL:16138	yes	yes
Sphingomonas guangdongensis	 9NM-8, CGMCC 1.12672, CGMCC:1.12672, DSM 27570, DSM:27570, GIMCC 1.653, GIMCC:1.653	yes	yes
Terrabacter aerolatus	 5516J-36, DSM 18562, DSM:18562, JCM 16379, JCM:16379, KACC 20556, KACC:20556	yes	no
Fluviicola hefeinensis	 CCTCC AB 2013168, CCTCC:AB:2013168, KACC 16597, KACC:16597, MYL-8	yes	no
Paracoccus oceanense	 CGMCC 1.10831, CGMCC:1.10831, JCM 17768, JCM:17768, JLT1679	yes	no
Methylobacterium fujisawaense	 0-31, 0-31 of Kouno and Ozaki, ATCC 43884, ATCC:43884, CIP 103775, CIP:103775, DSM 5686, DSM:5686, IFO 15843, IFO:15843, JCM 10890, JCM:10890, NBRC 15843, NBRC:15843, NCIB 12417, NCIB:12417, NCIMB 12417, NCIMB:12417, O-31	yes	no
Sanguibacter antarcticus	 DSM 18966, DSM:18966, JCM 14623, JCM:14623, KCTC 13143, KCTC:13143, KOPRI 21702	yes	yes
Sneathia sanguinegens	 CCUG 41628, CCUG:41628, CIP 106906, CIP:106906, DSM 22970, DSM:22970	yes	yes
Lysobacter lactamgenus	 YK-90	no	no
Staphylococcus schleiferi subsp. coagulans	 ATCC 49545, ATCC:49545, CCUG 37248, CCUG:37248, CIP 104370, CIP:104370, DSM 6628, DSM:6628, DSMZ 6628, GA 211, GA211, JCM 7470, JCM:7470	yes	yes
Telmatobacter bradus	 DSM 23630, DSM:23630, TPB6017, VKM B-2570, VKM:B:2570	yes	no
Flavobacterium fluminis	 3R17, JCM 30338, JCM:30338, KCTC 42062, KCTC:42062	yes	no
Halomonas cerina	 BCCM/LMG:24145, CECT 7282, CECT:7282, DSM 23438, LMG 24145, LMG:24145, SP4	yes	no
Paenibacillus chinensis	 4R1, CICC 23864, CICC:23864, KCTC 33672, KCTC:33672	yes	no
Sphingopyxis terrae	 ATCC 51381, ATCC:51381, BCCM/LMG:17326, CIP 104198, CIP:104198, DSM 8831, DSM:8831, E-1-A, HAMBI 1834, HAMBI:1834, IFO 15098, IFO:15098, JCM 10195, JCM:10195, LMG 17326, LMG:17326, NBRC 15098, NBRC:15098	yes	yes
Fervidobacterium gondwanense	 AB39, ACM 5017, ACM:5017, DSM 13020, DSM:13020	yes	yes
Rhodopirellula islandica	 DSM 24040, DSM:24040, JCM 17612, JCM:17612, K833	yes	yes
Herpetosiphon giganteus	 DSM 589, DSM:589, Hp a2, NBRC 112828, NBRC:112828	yes	no
Macrococcus carouselicus	 ATCC 51828, ATCC:51828, CCUG 38360, CCUG:38360, CIP 105711, CIP:105711, DD 9348, DSM 15608, H8b16, Kloos H8b16	yes	yes
Nakamurella silvestris	 BCCM/LMG:29427, DSM 102309, DSM:102309, LMG 29427, LMG:29427, S20-107	yes	yes
Actinomadura jiaoheensis	 CGMCC 4.7197, CGMCC:4.7197, DSM 102127, JCM 30341, JCM:30341, NEAU-Jh1-3	yes	no
Delftia deserti	 DSM 29949, JCM 30639, JCM:30639, KCTC 4237, KCTC 42377, KCTC:4237, YIM Y792	yes	no
Devosia chinhatensis	 CCM 7426, CCM:7426, DSM 24953, IPL18, MTCC 8593, MTCC:8593	yes	yes
Megasphaera cerevisiae	 ATCC 43254, ATCC:43254, DSM 20462, DSM:20462, JCM 6130, JCM:6130, PAT 1, PAT1, VTT E-85230, VTT:E:85230	yes	yes
Paenibacillus gansuensis	 B518, DSM 16968, DSM:16968, KCTC 3950, KCTC:3950	yes	no
Sporosarcina psychrophila	 ATCC 23304, ATCC:23304, BCCM/LMG:6929, BCRC 11738, BCRC:11738, CCM 2117, CCM:2117, CCRC 11738, CCRC:11738, CCUG 28886, CCUG:28886, CIP 103267, CIP:103267, DSM 3, DSM:3, DSMZ 3, IAM 12468, IAM:12468, IFO 15381, IFO:15381, JCM 9075, JCM:9075, LMG 6929, LMG:6929, NBRC 15381, NBRC:15381, NRRL B-3397, NRRL NRS 1530, NRRL NRS-1530, NRRL: NRS-1530, NRRL:B:3397, NRRL:NRS:1530	yes	no
Vulcanibacillus modesticaldus	 BR, DSM 14931, DSM:14931, JCM 12998, JCM:12998	yes	yes
Polycyclovorans algicola	 ATCC BAA-2242, ATCC:BAA:2242, KCTC 23940, KCTC:23940, TG408	yes	yes
Roseimaritima ulvae	 BCCM/LMG:27778, DSM 25454, DSM:25454, LMG 27778, LMG:27778, UC8	yes	yes
Oleispira antarctica	 BCCM/LMG:21398, DSM 14852, DSM:14852, LMG 21398, LMG:21398, RB-8	yes	no
Rhizobium laguerreae	 BCCM/LMG:27434, CECT 8280, CECT:8280, DSM 29977, FB206, LMG 27434, LMG:27434	yes	yes
Streptococcus porci	 2923-03, CCUG 55896, CCUG:55896, CECT 7374, CECT:7374, DSM 23759, DSM:23759	yes	yes
Brachybacterium alimentarium	 ATCC 700067, ATCC:700067, BCCM/LMG:19551, CCUG 50349, CCUG:50349, CIP 104811, CIP:104811, CNRZ 925, CNRZ:925, DSM 10672, DSM:10672, IFO 16118, IFO:16118, JCM 11607, JCM:11607, LMG 19551, LMG:19551, NBRC 16118, NBRC:16118	yes	no
Methylocystis bryophila	 DSM 21852, DSM:21852, H2s, VKM B-2545, VKM:B:2545	yes	no
Microtetraspora glauca	 ATCC 23057, ATCC:23057, DSM 43311, DSM:43311, DSMZ 43311, IFO 14761, IFO:14761, IMET 9532, JCM 3300, JCM:3300, NBRC 14761, NBRC:14761, NRRL B-3735, NRRL:B:3735, VKM Ac-663, VKM:Ac:663	yes	yes
Actinosynnema pretiosum subsp. auranticum	 ATCC 31309, ATCC:31309, C-14482, C-14482 (N-1001), C-14482(N-1001), DSM 44131, DSM:44131, FERM P 4130, FERM P-4130, FERM-P 4130, FERM:P:4130, IFO 13725, IFO 15620, IFO:15620, JCM 7343, JCM:7343, NBRC 15620, NBRC:15620, NRRL B-16078, NRRL:B:16078, VKM Ac-1961, VKM:Ac:1961	yes	yes
Azoarcus olearius	 BCCM/LMG:26893, BCRC 80407, BCRC:80407, DQS-4, DSM 100663, KCTC 23918, KCTC:23918, LMG 26893, LMG:26893	yes	yes
Flavobacterium ginsengisoli	 DCY54, JCM 17336, JCM:17336, KCTC 23318, KCTC:23318	yes	no
Pygmaiobacter massiliensis	 CSUR P3336, Marseille-P3336	yes	yes
Niabella tibetensis	 15-4, CCTCC AB 209167, CCTCC:AB:209167, NRRL B-59394, NRRL:B:59394	yes	no
Corynebacterium ureicelerivorans	 CCUG 53377, CCUG:53377, DSM 45051, DSM:45051, IMMIB RIV-2301, IMMIB:RIV:2301, JCM 15295, JCM:15295	yes	yes
Winogradskyella arenosi	 JCM 15527, JCM:15527, KMM 3968, KMM:3968, NRIC 0748, NRIC:0748, R-60, R60	no	no
Agrobacterium vitis	 ATCC 49767, ATCC:49767, BCCM/LMG:8750, CIP 105853, CIP:105853, HAMBI 1817, HAMBI:1817, ICMP 10752, ICMP:10752, IFO 15140, IFO:15140, JCM 21033, JCM:21033, K309, LMG 8750, LMG:8750, NBRC 15140, NBRC:15140, NCPPB 3554, NCPPB:3554	yes	yes
Novosphingobium kunmingense	 18-11HK, CGMCC 1.12274, CGMCC:1.12274, DSM 25975, DSM:25975	yes	yes
Streptomyces labedae	 A-24, DSM 41446, DSM:41446, IFO 15864, IFO:15864, IMRU 3737, ISP 5059, ISP:5059, JCM 9381, JCM:9381, NBRC 15864, NBRC:15864, NRRL B-5616, NRRL-ISP 5059, NRRL-ISP:5059, NRRL:B:5616, Sanchez-Marroquin A-24	yes	no
Streptomyces kishiwadensis	 ATCC 25464, ATCC:25464, BCCM/LMG:19939, CBS 697.69, CBS:697.69, DSM 40397, DSM:40397, IFO 13052, IFO:13052, ISP 5397, ISP:5397, JCM 4486, JCM:4486, LMG 19939, LMG:19939, NBRC 13052, NBRC:13052, NRRL B-12326, NRRL-ISP 5397, NRRL-ISP:5397, NRRL:B:12326, RIA 1244, RIA:1244, VKM Ac-931, VKM:Ac:931	yes	no
Algibacter miyuki	 CECT 8300, CECT:8300, KCTC 32382, KCTC:32382, WS-MY6	yes	no
Nonlabens tegetincola	 JCM 12886, JCM:12886, NBRC 101533, NBRC:101533, NRRL B-41136, NRRL:B:41136, UST030701-324	yes	yes
Rouxiella badensis	 323, CIP 111153, CIP:111153, DSM 100043, DSM:100043	yes	yes
Rudanella lutea	 5715S-11, DSM 19387, DSM:19387, JCM 16390, JCM:16390, KACC 12603, KACC:12603	yes	yes
Arcticibacter svalbardensis	 CIP 110422, CIP110422, CIP:110422, KCTC 32015, KCTC:32015, MN12-7	yes	yes
Lactobacillus uvarum	 8, CECT 7335, CECT:7335, DSM 19971, DSM:19971, JCM 16870, JCM:16870, Lb8	yes	yes
Flavimarina pacifica	 IDSW-73, KCTC 32466, KCTC:32466, KMM 6759, KMM:6759	yes	no
Gordonia polyisoprenivorans	 ATCC BAA-14, ATCC:BAA:14, CIP 106350, CIP:106350, DSM 44302, DSM:44302, IFO 16320, IFO:16320, JCM 10675, JCM:10675, Kd2, NBRC 16320, NBRC:16320	yes	yes
Rothia mucilaginosa	 ATCC 25296, ATCC:25296, CCM 2417, CCM:2417, CCUG 20962, CCUG:20962, CIP 71.14, CIP:71.14, DSM 20746, DSM:20746, IFO 15673, IFO:15673, JCM 10910, JCM:10910, NBRC 15673, NBRC:15673, NCTC 10663, NCTC:10663	yes	yes
Streptomonospora salina	 BCRC 16284, BCRC:16284, CCRC 16284, CCRC:16284, CCTCC 99003, CCTCC:99003, DSM 44593, DSM:44593, JCM 11823, JCM:11823, YIM 90002, YIM:90002	yes	no
Parafilimonas rhizosphaerae	 JCM 31601, JCM:31601, KACC 18786, KACC:18786, T16E-198	yes	no
Ruegeria conchae	 DSM 29317, JCM 17315, JCM:17315, KACC 15115, KACC:15115, TW15	yes	yes
Rickettsia massiliae	 ATCC VR-1376, Mtu1	yes	no
Brumimicrobium salinarum	 KCTC 62372, KCTC:62372, LHR20, MCCC 1H00247, MCCC:1H00247	yes	yes
Bacillus infernus	 CIP 104581, CIP:104581, DSM 10277, DSM:10277, OCM 479, SMCC W479, SMCC/W 479, TH-23	no	no
Intrasporangium chromatireducens	 CCTCC AA 2010019, CCTCC:AA:2010019, CGMCC 1.10750, CGMCC:1.10750, DSM 25801, KCTC 19811, KCTC:19811, NRRL B-59521, NRRL:B:59521, Q5-1	yes	yes
Leucobacter celer subsp. astrifaciens	 CBX151, CIP 110720, CIP:110720, DSM 27159, DSM:27159	yes	yes
Actinoplanes deccanensis	 ATCC 21983, ATCC:21983, DSM 43806, DSM:43806, IFO 13994, IFO:13994, IMET 9256, IMSNU 20026, IMSNU:20026, JCM 3247, JCM:3247, KCC A-0247, NBRC 13994, NBRC:13994, NRRL B-16715, NRRL:B:16715	yes	no
Aquamicrobium defluvii	 CIP 105610, CIP:105610, DSM 11603, DSM:11603, NKK	yes	yes
Nocardioides hungaricus	 1RaM5-12, DSM 21673, DSM:21673, NCAIM 02330, NCAIM:02330, RaM5-12	yes	no
Shewanella algicola	 DSM 23803, JCM 31091, JCM:31091, KCTC 23253, KCTC:23253, ST-6	yes	no
Borrelia miyamotoi	 HT31, JCM 9579, JCM:9579	yes	no
Prevotella rara	 109, DSM 105141, VKM B-2992	no	no
Desulfobacter halotolerans	 DSM 11383, DSM:11383, GSL-Ac1	no	no
Mesoflavibacter aestuarii	 JCM 19524, JCM:19524, KCTC 32269, KCTC:32269, KYW614	yes	yes
Rheinheimera aquatica	 BCRC 80081, GR5, LMG 25379	yes	no
Clostridium polyendosporum	 DSM 5272, DSM:5272, JCM 30710, PS-1, VKM B-1724, VKM:B:1724	yes	no
Marimonas arenosa	 CAU 1311, KCTC 52189, KCTC:52189, NBRC 111988, NBRC:111988	yes	no
Blautia phocaeensis	 CSUR P3441, Marseille-P3441	yes	no
Aquabacterium parvum	 ATCC BAA-208, ATCC:BAA:208, B6, CCUG 48317, CCUG:48317, CIP 106983, CIP:106983, DSM 11968, DSM:11968	yes	yes
Desulfovibrio legallii	 CCUG 54389, CCUG:54389, DSM 19129, DSM:19129, H1	yes	yes
Flavobacterium collinsense	 4-T-2, BCCM/LMG:28257, CCTCC AB 2014004, CCTCC:AB:2014004, LMG 28257, LMG:28257	yes	no
Tenacibaculum todarodis	 JCM 31564, JCM:31564, KACC 18887, KACC:18887, LPB0136	yes	yes
Alkalispirochaeta odontotermitis	 JC202, KCTC 15324, KCTC:15324, NBRC 110104, NBRC:110104	yes	yes
Ancylobacter rudongensis	 AS 1.1761, AS:1.1761, CGMCC 1.1761, DSM 17131, JCM 11671, JCM:11671	yes	yes
Demequina flava	 DSM 24865, DSM:24865, HR08-7, NBRC 105854, NBRC:105854	yes	yes
Leuconostoc inhae	 DSM 15101, DSM:15101, IH003, JCM 17833, JCM:17833, KCTC 3774, KCTC:3774	yes	yes
Shimia haliotis	 DSM 28453, DSM:28453, JCM 18870, JCM:18870, KACC 17212, KACC:17212, WM35	yes	yes
Amycolatopsis echigonensis	 CCTCC AB206019, DSM 45164, IAM 15387, IAM:15387, JCM 21831, JCM:21831, LC2	yes	no
Ensifer fredii	 ATCC 35423, ATCC 35423 [[Ensifer xinjiangensis]], ATCC 35423 [[Sinorhizobium xinjiangense]], ATCC 35423 [[Sinorhizobium xinjiangensis]], ATCC 49357, ATCC 49357 [[Ensifer xinjiangensis]], ATCC 49357 [[Sinorhizobium xinjiangense]], ATCC 49357 [[Sinorhizobium xinjiangensis]], CCBAU 00110, CCBAU 00110 [[Ensifer xinjiangensis]], CCBAU 00110 [[Sinorhizobium xinjiangense]], CCBAU 00110 [[Sinorhizobium xinjiangensis]], CCBAU 110, CCBAU 110 [[Ensifer xinjiangensis]], CCBAU 110 [[Sinorhizobium xinjiangense]], CCBAU 110 [[Sinorhizobium xinjiangensis]], CCUG 27877, CCUG 27877 [[Ensifer xinjiangensis]], CCUG 27877 [[Sinorhizobium xinjiangense]], CCUG 27877 [[Sinorhizobium xinjiangensis]], DSM 5851, DSM 5851 [[Ensifer xinjiangensis]], DSM 5851 [[Sinorhizobium xinjiangense]], DSM 5851 [[Sinorhizobium xinjiangensis]], DSM 5852, DSM 5852 [[Ensifer xinjiangensis]], DSM 5852 [[Sinorhizobium xinjiangense]], DSM 5852 [[Sinorhizobium xinjiangensis]], DSMZ 5851, DSMZ 5851 [[Ensifer xinjiangensis]], DSMZ 5851 [[Sinorhizobium xinjiangense]], DSMZ 5851 [[Sinorhizobium xinjiangensis]], DSMZ 5852, DSMZ 5852 [[Ensifer xinjiangensis]], DSMZ 5852 [[Sinorhizobium xinjiangense]], DSMZ 5852 [[Sinorhizobium xinjiangensis]], HAMBI 1673, HAMBI 1673 [[Ensifer xinjiangensis]], HAMBI 1673 [[Sinorhizobium xinjiangense]], HAMBI 1673 [[Sinorhizobium xinjiangensis]], HAMBI 2075, HAMBI 2075 [[Ensifer xinjiangensis]], HAMBI 2075 [[Sinorhizobium xinjiangense]], HAMBI 2075 [[Sinorhizobium xinjiangensis]], ICMP 11139, ICMP 11139 [[Ensifer xinjiangensis]], ICMP 11139 [[Sinorhizobium xinjiangense]], ICMP 11139 [[Sinorhizobium xinjiangensis]], ICMP 11141, ICMP 11141 [[Ensifer xinjiangensis]], ICMP 11141 [[Sinorhizobium xinjiangense]], ICMP 11141 [[Sinorhizobium xinjiangensis]], IFO 14780, IFO 14780 [[Ensifer xinjiangensis]], IFO 14780 [[Sinorhizobium xinjiangense]], IFO 14780 [[Sinorhizobium xinjiangensis]], JCM 20967, JCM 20967 [[Ensifer xinjiangensis]], JCM 20967 [[Sinorhizobium xinjiangense]], JCM 20967 [[Sinorhizobium xinjiangensis]], JCM 21035, JCM 21035 [[Ensifer xinjiangensis]], JCM 21035 [[Sinorhizobium xinjiangense]], JCM 21035 [[Sinorhizobium xinjiangensis]], LMG 17930, LMG 17930 [[Ensifer xinjiangensis]], LMG 17930 [[Sinorhizobium xinjiangense]], LMG 17930 [[Sinorhizobium xinjiangensis]], LMG 6217, LMG 6217 [[Ensifer xinjiangensis]], LMG 6217 [[Sinorhizobium xinjiangense]], LMG 6217 [[Sinorhizobium xinjiangensis]], NBRC 100018, NBRC 100018 [[Ensifer xinjiangensis]], NBRC 100018 [[Sinorhizobium xinjiangense]], NBRC 100018 [[Sinorhizobium xinjiangensis]], NBRC 14780, NBRC 14780 [[Ensifer xinjiangensis]], NBRC 14780 [[Sinorhizobium xinjiangense]], NBRC 14780 [[Sinorhizobium xinjiangensis]], NRRL B-14241, NRRL B-14241 [[Ensifer xinjiangensis]], NRRL B-14241 [[Sinorhizobium xinjiangense]], NRRL B-14241 [[Sinorhizobium xinjiangensis]], NRRL B-14594, NRRL B-14594 [[Ensifer xinjiangensis]], NRRL B-14594 [[Sinorhizobium xinjiangense]], NRRL B-14594 [[Sinorhizobium xinjiangensis]], PRC 205, PRC 205 [[Ensifer xinjiangensis]], PRC 205 [[Sinorhizobium xinjiangense]], PRC 205 [[Sinorhizobium xinjiangensis]], USDA 205, USDA 205 [[Ensifer xinjiangensis]], USDA 205 [[Sinorhizobium xinjiangense]], USDA 205 [[Sinorhizobium xinjiangensis]]	yes	yes
Shigella flexneri	 ATCC 29903, ATCC:29903, CIP 82.48, CIP:82.48, DSM 4782, DSM:4782	yes	yes
Elizabethkingia anophelis	 2.5, 8.26, BCCM/LMG:28604 [[Elizabethkingia endophytica]], CCM 7804, CCM 8570 [[Elizabethkingia endophytica]], CCM:7804, CCM:8570 [[Elizabethkingia endophytica]], CCUG 60038, CCUG:60038, CIP 110885 [[Elizabethkingia endophytica]], CIP:110885 [[Elizabethkingia endophytica]], DSM 29660 [[Elizabethkingia endophytica]], JM-87 [[Elizabethkingia endophytica]], LMG 28604 [[Elizabethkingia endophytica]], LMG:28604 [[Elizabethkingia endophytica]], R-26, R26	yes	yes
Paenibacillus paeoniae	 CGMCC 1.13667, CGMCC:1.13667, KCTC 33997, KCTC:33997, M4BSY-1	yes	yes
Pseudomonas resinovorans	 ATCC 14235, ATCC:14235, BCCM/LMG:2274, CCUG 2473, CCUG 4439, CCUG:2473, CCUG:4439, CFBP 5590, CFBP:5590, CIP 61.9, CIP:61.9, DSM 21078, DSM:21078, LMG 2274, LMG:2274, NRRL B-2649, NRRL:B:2649	yes	yes
Virgibacillus campisalis	 CCUG 59308, CCUG:59308, DSM 25790, IDS-20, KCTC 13727, KCTC:13727	yes	no
Ponticaulis koreensis	 DSM 19734, DSM:19734, GSW-23, JCM 14975, JCM:14975, KCTC 22146, KCTC:22146	yes	yes
Streptomyces ansochromogenes	 IMASP 9-252, IMASP:9-252	no	no
Ascidiaceihabitans donghaensis	 CECT 8599, CECT:8599, KCTC 42118, KCTC:42118, RSS1-M3	yes	yes
Kitasatospora xanthocidica	 AS 4.1424, ATCC 27480, BCRC 11874, CBS 770.72, CCRC 11874, DSM 40575, IFO 13469, ISP 5575, JCM 4243, JCM 4862, NBRC 13469, NRRL B-12504, NRRL-ISP 5575, RIA 1430, RIA 143D, VKM Ac-872	yes	no
Prevotella aurantiaca	 CCUG 57723, CCUG:57723, DSM 24803, JCM 15754, JCM:15754, OMA31	yes	yes
Paenibacillus mendelii	 BCCM/LMG:23002, C/2, CCM 4839, CCM:4839, DSM 19248, LMG 23002, LMG:23002	yes	no
Bacteroides intestinalis	 341, DSM 17393, DSM:17393, JCM 13265, JCM:13265	yes	yes
Mycoplasma oxoniensis	 128, ATCC 49694, ATCC:49694, NCTC 11712, NCTC:11712	yes	no
Aequorivita sublithincola	 9-3, ACAM 643, ACAM:643, DSM 14238, DSM:14238, QSSC9-3	yes	yes
Leptospira meyeri	 ATCC 43287, ATCC:43287, DSM 21537, DSM:21537, Iowa City Frog	yes	yes
Methanothermobacter thermophilus	 DSM 6529, DSM:6529, M, OCM 231, OCM:231, VKM B-1786, VKM:B:1786	yes	no
Aeromonas ichthiosmia	 115/II, ATCC 49904, CECT 4486, CIP 104613, DSM 6393, JCM 8354, LMG 12645	yes	yes
Thermoanaerobacter brockii subsp. finnii	 AKO-1, ATCC 43586, ATCC:43586, Ako-1, DSM 3389, DSM:3389	no	yes
Psychrobacter phenylpyruvicus	 2863, ACAM 535, ACAM:535, ACM 886, ACM:886, ATCC 23333, ATCC:23333, BCCM/LMG:5372, CCUG 351, CCUG:351, CIP 82.27, CIP:82.27, DSM 7000, DSM:7000, JCM 20444, JCM:20444, LMG 5372, LMG:5372, NBRC 102152, NBRC:102152, NCTC 10526, NCTC:10526	yes	yes
Methanoplanus limicola	 ATCC 35062, ATCC:35062, DSM 2279, DSM:2279, M3, OCM 101, OCM:101	yes	yes
Leifsonia lichenia	 2Sb, IAM 15426, IAM:15426, JCM 23226, JCM:23226, KCTC 13122, KCTC:13122	yes	no
Paraglaciecola chathamensis	 JCM 13645, JCM:13645, NCIMB 14146, NCIMB:14146, S18K6	yes	yes
Kineosporia succinea	 CIP 105753, CIP:105753, DSM 44388, DSM:44388, I-273, IFO 16232, IFO:16232, JCM 9957, JCM:9957, NBRC 16232, NBRC:16232	yes	yes
Pseudomonas aestusnigri	 CCUG 64165, CCUG:64165, CECT 8317, CECT:8317, DSM 103065, VGXO14	yes	yes
Kribbella solani	 DSA1, DSM 17294, JCM 12205, JCM:12205, KACC 20196, KACC:20196, NBRC 101071, NBRC:101071	yes	no
